rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0025.jpg,10.0,0.6549,0.6969,0.3548,1.0,37,11,False,False
75,frame_0322.jpg,128.8,0.6548,0.9166,0.5484,0.16,71,17,False,False
76,frame_0271.jpg,108.4,0.654,0.9437,0.5806,0.04,72,18,False,False
77,frame_0021.jpg,8.4,0.6529,0.7898,0.1935,1.0,31,6,False,False
78,frame_0371.jpg,148.4,0.6515,0.9032,0.6129,0.08,84,19,False,False
79,frame_0332.jpg,132.8,0.6514,0.9772,0.5161,0.04,68,16,False,False
80,frame_0292.jpg,116.8,0.6498,0.8442,0.2258,0.8,33,7,False,False
81,frame_0375.jpg,150.0,0.6481,0.9066,0.5161,0.2,68,16,False,False
82,frame_0026.jpg,10.4,0.648,0.7218,0.2903,1.0,45,9,False,False
83,frame_0387.jpg,154.8,0.6479,0.9448,0.4516,0.2,72,14,False,False
84,frame_0009.jpg,3.6,0.6478,0.7794,0.1935,1.0,37,6,False,False
85,frame_0079.jpg,31.6,0.6478,0.8594,0.1935,0.8,44,6,False,False
86,frame_0267.jpg,106.8,0.6469,0.9361,0.5161,0.12,70,16,False,False
87,frame_0120.jpg,48.0,0.6468,0.8533,0.3871,0.52,58,12,False,False
88,frame_0399.jpg,159.6,0.6444,0.9059,0.4516,0.28,55,14,False,False
89,frame_0329.jpg,131.6,0.6427,0.9438,0.5161,0.08,81,16,False,False
90,frame_0075.jpg,30.0,0.6418,0.7641,0.2258,0.96,44,7,False,False
91,frame_0174.jpg,69.6,0.6416,0.9229,0.3871,0.32,52,12,False,False
92,frame_0001.jpg,0.4,0.641,0.6884,0.3226,1.0,42,10,False,False
93,frame_0169.jpg,67.6,0.6392,0.7995,0.4516,0.52,62,14,False,False
94,frame_0388.jpg,155.2,0.6388,0.904,0.5161,0.16,63,16,False,False
95,frame_0377.jpg,150.8,0.6382,0.9188,0.5161,0.12,57,16,False,False
96,frame_0286.jpg,114.4,0.6381,0.8074,0.3548,0.64,43,11,False,False
97,frame_0316.jpg,126.4,0.6379,0.9214,0.4839,0.16,63,15,False,False
98,frame_0090.jpg,36.0,0.6371,0.9173,0.3548,0.36,50,11,False,False
99,frame_0289.jpg,115.6,0.637,0.8733,0.1613,0.76,36,5,False,False
100,frame_0006.jpg,2.4,0.6364,0.776,0.1613,1.0,24,5,False,False
101,frame_0298.jpg,119.2,0.6349,0.9104,0.2258,0.56,44,7,False,False
102,frame_0084.jpg,33.6,0.6341,0.9122,0.1935,0.6,38,6,False,False
103,frame_0370.jpg,148.0,0.6338,0.9419,0.5161,0.04,73,16,False,False
104,frame_0317.jpg,126.8,0.6336,0.8195,0.6129,0.2,61,19,False,False
105,frame_0124.jpg,49.6,0.6335,0.8982,0.1613,0.68,50,5,False,False
106,frame_0172.jpg,68.8,0.6335,0.9135,0.3226,0.4,45,10,False,False
107,frame_0379.jpg,151.6,0.6321,0.8804,0.6129,0.04,64,19,False,False
108,frame_0385.jpg,154.0,0.6321,0.9133,0.4516,0.2,59,14,False,False
109,frame_0211.jpg,84.4,0.6312,0.8516,0.2581,0.64,44,8,False,False
110,frame_0127.jpg,50.8,0.6296,0.7457,0.3226,0.8,50,10,False,False
111,frame_0203.jpg,81.2,0.6296,0.8291,0.2903,0.64,28,9,False,False
112,frame_0393.jpg,157.2,0.6294,0.8945,0.5806,0.04,63,18,False,False
113,frame_0193.jpg,77.2,0.6281,0.8505,0.5161,0.24,41,16,False,False
